"gene"	"qval"
"ENSG00000140988"	"ENSG00000140988"	0.998408262867772
"ENSG00000071082"	"ENSG00000071082"	1
"ENSG00000105640"	"ENSG00000105640"	1
"ENSG00000124614"	"ENSG00000124614"	1
"ENSG00000131469"	"ENSG00000131469"	1
"ENSG00000145425"	"ENSG00000145425"	1
"ENSG00000161970"	"ENSG00000161970"	1
"ENSG00000163682"	"ENSG00000163682"	1
"ENSG00000164587"	"ENSG00000164587"	1
"ENSG00000167526"	"ENSG00000167526"	1
"ENSG00000167996"	"ENSG00000167996"	1
"ENSG00000177954"	"ENSG00000177954"	1
"ENSG00000182899"	"ENSG00000182899"	1
"ENSG00000198918"	"ENSG00000198918"	1
"ENSG00000229117"	"ENSG00000229117"	1
"ENSG00000244734"	"ENSG00000244734"	1
