"featureID"	"groupID"	"pvalue"
"ENSG00000124614:ENST00000467531"	"ENST00000467531"	"ENSG00000124614"	0.19223036129699
"ENSG00000229117:ENST00000546591"	"ENST00000546591"	"ENSG00000229117"	0.193856616075359
"ENSG00000163682:ENST00000449470"	"ENST00000449470"	"ENSG00000163682"	0.201234403111098
"ENSG00000124614:ENST00000326199"	"ENST00000326199"	"ENSG00000124614"	0.206575148730171
"ENSG00000163682:ENST00000295955"	"ENST00000295955"	"ENSG00000163682"	0.246419420061561
"ENSG00000229117:ENST00000358888"	"ENST00000358888"	"ENSG00000229117"	0.248004100049353
"ENSG00000177954:ENST00000368567"	"ENST00000368567"	"ENSG00000177954"	0.32007907140306
"ENSG00000167526:ENST00000311528"	"ENST00000311528"	"ENSG00000167526"	0.326820146598613
"ENSG00000131469:ENST00000253788"	"ENST00000253788"	"ENSG00000131469"	0.352725187436128
"ENSG00000177954:ENST00000477151"	"ENST00000477151"	"ENSG00000177954"	0.383294767226197
"ENSG00000167526:ENST00000393099"	"ENST00000393099"	"ENSG00000167526"	0.624788988638956
"ENSG00000164587:ENST00000401695"	"ENST00000401695"	"ENSG00000164587"	0.663763091734522
"ENSG00000071082:ENST00000409028"	"ENST00000409028"	"ENSG00000071082"	0.678279801261221
"ENSG00000167996:ENST00000273550"	"ENST00000273550"	"ENSG00000167996"	0.686171312634294
"ENSG00000164587:ENST00000407193"	"ENST00000407193"	"ENSG00000164587"	0.688847920518784
"ENSG00000071082:ENST00000264258"	"ENST00000264258"	"ENSG00000071082"	0.711768712166144
"ENSG00000167996:ENST00000534180"	"ENST00000534180"	"ENSG00000167996"	0.719294218012066
"ENSG00000105640:ENST00000222247"	"ENST00000222247"	"ENSG00000105640"	0.736958461714824
"ENSG00000182899:ENST00000429437"	"ENST00000429437"	"ENSG00000182899"	0.743278860365505
"ENSG00000182899:ENST00000464167"	"ENST00000464167"	"ENSG00000182899"	0.749383710805131
"ENSG00000105640:ENST00000599870"	"ENST00000599870"	"ENSG00000105640"	0.770561103331016
"ENSG00000145425:ENST00000274065"	"ENST00000274065"	"ENSG00000145425"	0.791764016832996
"ENSG00000161970:ENST00000582556"	"ENST00000582556"	"ENSG00000161970"	0.791903834368181
"ENSG00000161970:ENST00000584164"	"ENST00000584164"	"ENSG00000161970"	0.802661742111911
"ENSG00000145425:ENST00000512690"	"ENST00000512690"	"ENSG00000145425"	0.805748280332806
"ENSG00000131469:ENST00000589913"	"ENST00000589913"	"ENSG00000131469"	0.821622781415382
"ENSG00000244734:ENST00000335295"	"ENST00000335295"	"ENSG00000244734"	0.88210097616681
"ENSG00000244734:ENST00000633227"	"ENST00000633227"	"ENSG00000244734"	0.888432832518698
"ENSG00000198918:ENST00000361575"	"ENST00000361575"	"ENSG00000198918"	0.91342644648287
"ENSG00000198918:ENST00000468844"	"ENST00000468844"	"ENSG00000198918"	0.913847256458552
"ENSG00000140988:ENST00000343262"	"ENST00000343262"	"ENSG00000140988"	0.958851390498804
"ENSG00000140988:ENST00000533161"	"ENST00000533161"	"ENSG00000140988"	0.959566258538078
"ENSG00000131469:ENST00000589037"	"ENST00000589037"	"ENSG00000131469"	1
